participant_id,bias_name,description,age_group,profession,prevalence_score,awareness,corrected_score
P001,Confirmation Bias,Seeing information that confirms pre-existing beliefs,36-50,Tech,0.693,No,0.663
P002,Confirmation Bias,Seeing information that confirms pre-existing beliefs,18-25,Finance,0.759,No,0.729
P003,Confirmation Bias,Seeing information that confirms pre-existing beliefs,65+,Tech,0.886,Yes,0.936
P004,Confirmation Bias,Seeing information that confirms pre-existing beliefs,18-25,Education,0.767,No,0.737
P005,Confirmation Bias,Seeing information that confirms pre-existing beliefs,65+,Student,0.93,No,0.9
P006,Confirmation Bias,Seeing information that confirms pre-existing beliefs,18-25,Education,0.661,No,0.631
P007,Confirmation Bias,Seeing information that confirms pre-existing beliefs,18-25,Tech,1.0,Yes,1.0
P008,Confirmation Bias,Seeing information that confirms pre-existing beliefs,26-35,Education,0.816,Yes,0.866
P009,Confirmation Bias,Seeing information that confirms pre-existing beliefs,36-50,Education,0.768,No,0.738
P010,Confirmation Bias,Seeing information that confirms pre-existing beliefs,26-35,Finance,0.643,Yes,0.693
P011,Confirmation Bias,Seeing information that confirms pre-existing beliefs,18-25,Education,0.825,No,0.795
P012,Confirmation Bias,Seeing information that confirms pre-existing beliefs,51-65,Finance,0.767,No,0.737
P013,Confirmation Bias,Seeing information that confirms pre-existing beliefs,51-65,Finance,0.648,No,0.618
P014,Confirmation Bias,Seeing information that confirms pre-existing beliefs,26-35,Student,0.984,No,0.954
P015,Confirmation Bias,Seeing information that confirms pre-existing beliefs,65+,Healthcare,0.902,Yes,0.952
P016,Confirmation Bias,Seeing information that confirms pre-existing beliefs,18-25,Student,0.559,No,0.529
P017,Confirmation Bias,Seeing information that confirms pre-existing beliefs,26-35,Finance,0.83,Yes,0.88
P018,Confirmation Bias,Seeing information that confirms pre-existing beliefs,18-25,Education,0.872,No,0.842
P019,Confirmation Bias,Seeing information that confirms pre-existing beliefs,36-50,Finance,0.662,No,0.632
P020,Confirmation Bias,Seeing information that confirms pre-existing beliefs,51-65,Student,0.54,No,0.51
P021,Confirmation Bias,Seeing information that confirms pre-existing beliefs,36-50,Healthcare,0.712,No,0.682
P022,Confirmation Bias,Seeing information that confirms pre-existing beliefs,36-50,Other,0.678,No,0.648
P023,Confirmation Bias,Seeing information that confirms pre-existing beliefs,51-65,Finance,0.665,Yes,0.715
P024,Confirmation Bias,Seeing information that confirms pre-existing beliefs,51-65,Finance,0.424,Yes,0.474
P025,Confirmation Bias,Seeing information that confirms pre-existing beliefs,18-25,Healthcare,0.969,Yes,1.0
P026,Confirmation Bias,Seeing information that confirms pre-existing beliefs,26-35,Healthcare,0.823,No,0.793
P027,Confirmation Bias,Seeing information that confirms pre-existing beliefs,51-65,Student,0.806,Yes,0.856
P028,Confirmation Bias,Seeing information that confirms pre-existing beliefs,26-35,Healthcare,0.862,No,0.832
P029,Confirmation Bias,Seeing information that confirms pre-existing beliefs,36-50,Other,0.608,No,0.578
P030,Confirmation Bias,Seeing information that confirms pre-existing beliefs,26-35,Tech,0.802,Yes,0.852
P031,Confirmation Bias,Seeing information that confirms pre-existing beliefs,26-35,Tech,0.717,No,0.687
P032,Confirmation Bias,Seeing information that confirms pre-existing beliefs,26-35,Finance,0.71,Yes,0.76
P033,Confirmation Bias,Seeing information that confirms pre-existing beliefs,26-35,Healthcare,0.529,Yes,0.579
P034,Confirmation Bias,Seeing information that confirms pre-existing beliefs,26-35,Other,0.686,No,0.656
P035,Confirmation Bias,Seeing information that confirms pre-existing beliefs,65+,Other,0.708,No,0.678
P036,Confirmation Bias,Seeing information that confirms pre-existing beliefs,65+,Healthcare,0.685,No,0.655
P037,Confirmation Bias,Seeing information that confirms pre-existing beliefs,51-65,Student,0.579,Yes,0.629
P038,Confirmation Bias,Seeing information that confirms pre-existing beliefs,26-35,Healthcare,0.748,Yes,0.798
P039,Confirmation Bias,Seeing information that confirms pre-existing beliefs,36-50,Education,0.733,Yes,0.783
P040,Confirmation Bias,Seeing information that confirms pre-existing beliefs,18-25,Finance,0.731,No,0.701
P041,Confirmation Bias,Seeing information that confirms pre-existing beliefs,18-25,Tech,0.666,Yes,0.716
P042,Confirmation Bias,Seeing information that confirms pre-existing beliefs,36-50,Education,0.674,No,0.644
P043,Confirmation Bias,Seeing information that confirms pre-existing beliefs,18-25,Student,1.0,No,0.97
P044,Confirmation Bias,Seeing information that confirms pre-existing beliefs,51-65,Finance,0.345,Yes,0.395
P045,Confirmation Bias,Seeing information that confirms pre-existing beliefs,18-25,Other,0.665,No,0.635
P046,Confirmation Bias,Seeing information that confirms pre-existing beliefs,26-35,Education,0.828,Yes,0.878
P047,Confirmation Bias,Seeing information that confirms pre-existing beliefs,65+,Finance,0.844,Yes,0.894
P048,Confirmation Bias,Seeing information that confirms pre-existing beliefs,65+,Finance,0.88,No,0.85
P049,Confirmation Bias,Seeing information that confirms pre-existing beliefs,18-25,Other,0.832,No,0.802
P050,Confirmation Bias,Seeing information that confirms pre-existing beliefs,36-50,Tech,0.58,No,0.55
P001,Availability Heuristic,Overestimating importance of readily available information,65+,Finance,0.545,No,0.515
P002,Availability Heuristic,Overestimating importance of readily available information,26-35,Tech,0.524,No,0.494
P003,Availability Heuristic,Overestimating importance of readily available information,26-35,Tech,0.54,Yes,0.59
P004,Availability Heuristic,Overestimating importance of readily available information,18-25,Finance,0.664,No,0.634
P005,Availability Heuristic,Overestimating importance of readily available information,26-35,Other,0.571,No,0.541
P006,Availability Heuristic,Overestimating importance of readily available information,36-50,Finance,0.595,Yes,0.645
